aadamu	萨达姆
chenyyi	诚意
chenyyuan	成员
chenyyuanguo	成员国
chenyyunren	承运人
chenyzai	承载
chenyzan	称赞
chenyzhang	成长
chenyzhen	城镇
chenyzhiwei	称之为
chenyzhong	城中
chenyzuo	乘坐
chenyzuren	承租人
chenzang	肾脏
chenzbong	沉重
chenzbongde	沉重的
chenzgong	沉重
chenzgongde	沉重的
chenzhan	衬衫
chenzhenshi	深圳市
chenzhilian	甚至连
chenzhing	沉重
chenzhingde	沉重的
chenzhiyou	甚至有
chenzhizai	甚至在
chenzhkng	沉重
chenzhkngde	沉重的
chenzhlng	沉重
chenzhlngde	沉重的
chenzhobg	沉重
chenzhobgde	沉重的
chenzhogg	沉重
chenzhoggde	沉重的
chenzhohg	沉重
chenzhohgde	沉重的
chenzhojg	沉重
chenzhojgde	沉重的
chenzhomg	沉重
chenzhomgde	沉重的
chenzhonb	沉重
chenzhonbde	沉重的
chenzhonf	沉重
chenzhonfde	沉重的
chenzhongce	沉重的
chenzhongdd	沉重的
chenzhongdf	沉重的
chenzhongdr	沉重的
chenzhongds	沉重的
chenzhongdw	沉重的
chenzhongee	沉重的
chenzhongfe	沉重的
chenzhongre	沉重的
chenzhongse	沉重的
chenzhongve	沉重的
chenzhongwe	沉重的
chenzhongxe	沉重的
chenzhonh	沉重
chenzhonhde	沉重的
chenzhonn	沉重
chenzhonnde	沉重的
chenzhonr	沉重
chenzhonrde	沉重的
chenzhont	沉重
chenzhontde	沉重的
chenzhonv	沉重
chenzhonvde	沉重的
chenzhony	沉重
chenzhonyde	沉重的
chenzhpng	沉重
chenzhpngde	沉重的
chenzhu	陈述
chenzing	辰星
chenzjong	沉重
chenzjongde	沉重的
chenzmong	沉重
chenzmongde	沉重的
chenznong	沉重
chenznongde	沉重的
chenztong	沉重
chenztongde	沉重的
chenzuong	沉重
chenzuongde	沉重的
chenzyong	沉重
chenzyongde	沉重的
cheoiang	车辆
cheoiao	车票
cheoun	车轮
chepiai	车票
chepiak	车票
chepial	车票
chepiang	车辆
chepiap	车票
chepiqo	车票
chepiso	车票
chepiwo	车票
chepixo	车票
chepizo	车票
chepjao	车票
chepkao	车票
cheplao	车票
chepoao	车票
chepuao	车票
chepun	车轮
cheqhang	车上
cheqhen	车身
cheqhi	车市
cheqhou	车手
cherao	车道
chere	车的
cheri	彻底
cheride	彻底的
cheru	摄入
cherui	车队
chesai	车载
chesbang	车上
chesben	车身
chesbi	车市
chesbou	车手
chese	车的
chesgang	车上
chesgen	车身
chesgi	车市
chesgou	车手
cheshabg	车上
cheshagg	车上
cheshahg	车上
cheshajg	车上
cheshamg	车上
cheshan	车站
cheshanb	车上
cheshanf	车上
cheshanh	车上
cheshann	车上
cheshanr	车上
cheshant	车上
cheshanv	车上
cheshany	车上
cheshdn	车身
chesheb	车身
chesheg	车身
chesheh	车身
cheshej	车身
cheshem	车身
cheshfn	车身
cheshiu	车手
cheshj	车市
cheshk	车市
cheshku	车手
cheshl	车市
cheshlu	车手
chesho	车市
cheshoh	车手
cheshoi	车手
cheshoj	车手
cheshok	车手
cheshoy	车手
cheshpu	车手
cheshqng	车上
cheshrn	车身
cheshsn	车身
cheshsng	车上
cheshwn	车身
cheshwng	车上
cheshxng	车上
cheshzng	车上
chesi	彻底,车子,车次
chesiang	车厢
chesiao	撤销
cheside	彻底的
chesing	车型
chesjang	车上
chesjen	车身
chesji	车市
chesjou	车手
chesmang	车上
chesmen	车身
chesmi	车市
chesmou	车手
chesnang	车上
chesnen	车身
chesni	车市
chesnou	车手
chestang	车上
chesten	车身
chesti	车市
chestou	车手
chesuang	车上
chesuen	车身
chesuou	车手
chesyang	车上
chesyen	车身
chesyi	车市
chesyou	车手
chetuan	社团
cheuian	车间
chevao	车道
cheve	车的
chevheng	车程
chevi	彻底,车次
chevide	彻底的
chevui	车队
chewao	车道
chewe	车的
chewhang	车上
chewhen	车身
chewhi	车市
chewhou	车手
chewi	彻底
chewide	彻底的
chewui	车队
chexai	车载
chexao	车道
chexe	车的
chexhan	车站
chexhang	车上
chexhen	车身
chexheng	车程
chexhi	车市
chexhou	车手
chexhu	车主
chexiabg	车厢
chexiagg	车厢
chexiahg	车厢
chexiai	撤销
chexiajg	车厢
chexiak	撤销
chexial	撤销
chexiamg	车厢
chexianb	车厢
chexianf	车厢
chexiangji	摄像机
chexiangtou	摄像头
chexianh	车厢
chexiann	车厢
chexianr	车厢
chexiant	车厢
chexianv	车厢
chexiany	车厢
chexiap	撤销
chexibg	车型
chexide	彻底的
chexigg	车型
chexihg	车型
chexijg	车型
cheximg	车型
chexinb	车型
chexinf	车型
chexinh	车型
chexinn	车型
chexinr	车型
chexint	车型
chexinv	车型
chexiny	车型
chexiqng	车厢
chexiqo	撤销
chexisng	车厢
chexiso	撤销
chexiwng	车厢
chexiwo	撤销
chexixng	车厢
chexixo	撤销
chexizng	车厢
chexizo	撤销
chexjang	车厢
chexjao	撤销
chexjng	车型
chexkang	车厢
chexkao	撤销
chexkng	车型
chexlang	车厢
chexlao	撤销
chexlng	车型
chexoang	车厢
chexoao	撤销
chexong	车型
chexuang	车厢
chexuao	撤销
chexui	车队
chexung	车型
cheyian	车间
cheyingshi	摄影师
chezaj	车载
chezak	车载
chezal	车载
chezao	车载
chezau	车载
chezban	车站
chezbu	车主
chezgan	车站
chezgu	车主
chezhab	车站
chezhag	车站
chezhah	车站
chezhaj	车站
chezham	车站
chezhang	车上
chezhh	车主
chezhiwei	设置为
chezhj	车主
chezhk	车主
chezhqn	车站
chezhsn	车站
chezhwn	车站
chezhxn	车站
chezhy	车主
chezhzn	车站
cheziang	车厢
cheziao	撤销
chezing	车型
chezj	车子
chezjan	车站
chezju	车主
chezk	车子
chezl	车子
chezman	车站
chezmu	车主
cheznan	车站
cheznu	车主
chezo	车子
chezqi	车载
chezsi	车载
cheztan	车站
cheztu	车主
chezuan	车站
chezuu	车主
chezwi	车载
chezxi	车载
chezyan	车站
chezyu	车主
chezzi	车载
chf	车,彻,扯,撤
chfcheng	车程
chfci	车次
chfdao	车道
chfde	车的
chfdi	彻底
chfdide	彻底的
chfdui	车队
chfjian	车间
chfliang	车辆
chflun	车轮
chfmen	车门
chfn	沉,陈,臣,晨,尘,趁
chfndian	沉淀
chfnei	车内
chfng	成,城,程,称,承,诚
chfngbai	成败
chfngban	承办
chfngbao	承包,城堡
chfngben	成本
chfngcai	成才
chfngche	乘车
chfngdan	承担
chfngdu	程度,成都
chfngdushang	程度上
chfngdushi	成都市
chfngfa	惩罚
chfngfen	成分
chfnggong	成功
chfnggongde	成功的,成功地
chfnggongle	成功了
chfnggonglv	成功率
chfngguo	成果
chfnghao	称号
chfnghu	称呼
chfngji	成绩,乘机
chfngjiao	成交
chfngjie	承接
chfngjiu	成就
chfngke	乘客
chfngken	诚恳
chfngli	成立,城里
chfnglihou	成立后
chfnglile	成立了
chfngliyu	成立于
chfngnei	城内
chfngnian	成年
chfngnianren	成年人
chfngnuo	承诺
chfngpin	成品,诚聘
chfngpinyou	成品油
chfngqiang	城墙
chfngqing	澄清
chfngqu	城区
chfngren	承认,成人
chfngshi	城市,诚实
chfngshide	城市的
chfngshihua	城市化
chfngshou	承受
chfngshu	成熟
chfngtao	成套
chfngwei	成为,称为
chfngweile	成为了
chfngxian	呈现
chfngxianchu	呈现出
chfngxiang	城乡,成像
chfngxiao	成效
chfngxin	诚信
chfngxu	程序
chfngxuyuan	程序员
chfngyi	诚意
chfngyuan	成员
chfngyuanguo	成员国
chfngyunren	承运人
chfngzai	承载
chfngzan	称赞
chfngzhang	成长
chfngzhen	城镇
chfngzhiwei	称之为
chfngzhong	城中
chfngzuo	乘坐
chfngzuren	承租人
chfnlie	陈列
chfnmian	沉眠
chfnmo	沉默
chfnshan	衬衫
chfnshu	陈述
chfnsi	沉思
chfnxing	辰星
chfnzhong	沉重
chfnzhongde	沉重的
chfpiao	车票
chfshang	车上
chfshen	车身
chfshi	车市
chfshou	车手
chfxiang	车厢
chfxiao	撤销
chfxing	车型
chfzai	车载
chfzhan	车站
chfzhu	车主
chfzi	车子
chh	出,处,楚,除,初,触
chhan	传,穿,船,川,喘,串
chhanbo	传播,船舶
chhancai	川菜
chhancheng	传承
chhanchu	传出
chhandao	传到
chhande	穿的
chhandi	传递
chhang	床,窗,创
chhanganqi	传感器
chhangban	创办
chhanghu	窗户
chhangjian	创建
chhangjianyu	创建于
chhangkou	窗口
chhangli	创立
chhanglian	窗帘
chhangshang	床上,创伤
chhangshe	创设
chhangshiren	创始人
chhanguo	穿过
chhangwai	窗外
chhangxin	创新
chhangye	创业
chhangyezhe	创业者
chhangyi	创意
chhangzao	创造
chhangzaochu	创造出
chhangzaole	创造了
chhangzaoli	创造力
chhangzuo	创作
chhankou	串口
chhanlai	传来
chhanmei	传媒
chhanqi	传奇
chhanran	传染
chhanranbing	传染病
chhanru	传入
chhanshang	穿上,船上
chhanshou	传授
chhanshu	传输
chhanshuo	传说
chhansong	传送
chhansuo	穿梭
chhantong	传统
chhanwen	传闻
chhanxiao	传销
chhanyuan	船员
chhanyue	穿越
chhanzhe	穿着
chhanzhen	传真
chhanzhuo	穿着
chhban	出版
chhbanshe	出版社
chhbanwu	出版物
chhbei	储备
chhchai	出差
chhchang	出场,出厂
chhchu	出处,处处
chhci	初次
chhcun	储存
chhcuo	出错
chher	初二
chhfa	出发,处罚,触发
chhfade	处罚的
chhfadian	出发点
chhfang	厨房,处方
chhfei	除非
chhfen	处分
chhguo	出国
chhi	吹,垂
chhizhi	垂直
chhji	初级,触及,出击
chhjia	出价
chhjing	出境,处境
chhju	出具
chhkou	出口
chhlai	出来
chhlaile	出来了
chhli	处理
chhliang	储量
chhlide	处理的
chhlu	出路
chhmai	出卖
chhmen	出门
chhmian	出面
chhmo	触摸
chhn	春,纯,唇
chhncai	蠢材
chhncui	纯粹
chhnfeng	春风
chhnji	春季
chhnjie	春节,纯洁
chhnjing	纯净
chhnqiu	春秋
chhnshu	纯属
chhntian	春天
chhnv	处女
chhnzhen	纯真
chhnzheng	纯正
chhpin	出品
chhqi	初期
chhqu	出去,除去
chhrang	出让
chhren	出任
chhru	出入
chhsan	初三
chhse	出色
chhshen	出身,初审
chhsheng	出生
chhshi	出示,初始,厨师
chhshihua	初始化
chhshou	出售,出手
chhtai	出台
chhtaile	出台了
chhtu	出土
chhwai	除外
chhxi	出席
chhxian	出现
chhxianle	出现了
chhxianzai	出现在
chhxie	出血
chhxile	出席了
chhxing	出行
chhxu	储蓄
chhxue	出血
chhxuezhe	初学者
chhyi	处以,初一
chhyige	出一个
chhyou	出游
chhyu	处于,出于
chhzai	处在
chhzhang	处长
chhzhi	处置
chhzhong	初中,出众
chhzi	出资,出自
chhzu	出租
chhzuche	出租车
chiaan	吃完
chianbo	传播,船舶
chiancai	川菜
chiancheng	传承
chianchu	传出
chiandao	传到
chiande	穿的
chiandi	传递
chiang	床,窗,创
chianganqi	传感器
chiangban	创办
chianghu	窗户
chiangjian	创建
chiangjianyu	创建于
chiangkou	窗口
chiangli	创立
chianglian	窗帘
chiangshang	床上,创伤
chiangshe	创设
chiangshiren	创始人
chianguo	穿过
chiangwai	窗外
chiangxin	创新
chiangye	创业
chiangyezhe	创业者
chiangyi	创意
chiangzao	创造
chiangzaochu	创造出
chiangzaole	创造了
chiangzaoli	创造力
chiangzuo	创作
chiankou	串口
chianlai	传来
chianmei	传媒
chianqi	传奇
chianran	传染
chianranbing	传染病
chianru	传入
chianshang	穿上,船上
chianshou	传授
chianshu	传输
chianshuo	传说
chiansong	传送
chiansuo	穿梭
chiantong	传统
chianwen	传闻
chianxiao	传销
chianyuan	船员
chianyue	穿越
chianzhe	穿着
chianzhen	传真
chianzhuo	穿着
chiau	持续
chibabg	翅膀
chibagg	翅膀
chibahg	翅膀
chibai	失败
chibaide	失败的
chibajg	翅膀
chibamg	翅膀
chiban	出版,吃饭
chibanb	翅膀
chibanf	翅膀
chibanh	翅膀
chibann	翅膀
chibanr	翅膀
chibanshe	出版社
chibant	翅膀
chibanv	翅膀
chibanwu	出版物
chibany	翅膀
chibqng	翅膀
chibsng	翅膀
chibuo	吃过
chibushi	是不是
chibwng	翅膀
chibxng	翅膀
chibzng	翅膀
chican	吃饭
chice	吃的,吃得
chichai	出差
chichang	市场,时常,出场,出厂,时长
chichangbu	市场部
chichanghua	市场化
chichangjia	市场价
chichn	尺寸
chicin	尺寸
chicjn	尺寸
chickn	尺寸
chicong	是从
chicub	尺寸
chicug	尺寸
chicuh	尺寸
chicuj	尺寸
chicum	尺寸
chicyn	尺寸
chida	十大
chidang	适当
chidangde	适当的
chidd	吃的,吃得
chidf	吃的,吃得
chidh	尺度
chidj	尺度
chidk	尺度
chidr	吃的,吃得
chids	吃的,吃得
chiduan	时段
chidui	是对
chiduome	是多么
chiduoshao	是多少
chidw	吃的,吃得
chidy	尺度
chiean	吃饭,吃完
chiee	吃的,吃得
chieryue	十二月
chieu	尺度
chifab	吃饭
chifade	处罚的
chifadian	出发点
chifag	吃饭
chifah	吃饭
chifaj	吃饭
chifam	吃饭
chifang	厨房,释放,翅膀,处方
chifazhan	始发站
chife	吃的,吃得
chifeichang	是非常
chifen	十分,处分
chifou	是否
chifouhui	是否会
chifouneng	是否能
chifqn	吃饭
chifsn	吃饭
chifun	尺寸
chifuo	吃过
chifwn	吃饭
chifxn	吃饭
chifzn	吃饭
chigai	是该
chigao	石膏,是高
chigei	是给
chigh	持股
chigho	吃过
chigi	持股
chigio	吃过
chigj	持股
chigjo	吃过
chigk	持股
chigko	吃过
chigong	施工
chigouren	持有人
chiguk	吃过
chigul	吃过
chiguonei	是国内
chigup	吃过
chigy	持股
chigyo	吃过
chihang	翅膀
chiheyu	适合于
chihing	吃惊
chihiu	持久
chihouren	持有人
chihuaji	催化剂
chii	吹,垂
chiie	吃了
chiiing	吃惊
chiiiu	持久
chiiun	齿轮
chiizhi	垂直
chijiade	是假的
chijiande	时间的,实践的
chijiang	是将
chijianli	时间里
chijiannei	时间内
chijianwei	时间为
chijianzhong	实践中
chijiazhuang	石家庄
chijibg	吃惊
chijiebei	世界杯
chijieguan	世界观
chijieli	世界里
chijieshang	世界上
chijige	十几个
chijigg	吃惊
chijih	持久
chijihg	吃惊
chijii	持久
chijij	持久
chijijg	吃惊
chijik	持久
chijimg	吃惊
chijinb	吃惊
chijinf	吃惊
chijinh	吃惊
chijinian	十几年
chijinn	吃惊
chijinr	吃惊
chijint	吃惊
chijinv	吃惊
chijiny	吃惊
chijishang	实际上
chijiy	持久
chijiyu	是基于
chijjng	吃惊
chijju	持久
chijkng	吃惊
chijku	持久
chijlng	吃惊
chijlu	持久
chijong	吃惊
chijou	持有,持久
chijouren	持有人
chijuan	试卷
chijue	视觉
chijung	吃惊
chijuu	持久
chikao	是靠
chikeyi	是可以
chiking	吃惊
chikiu	持久
chikun	齿轮
chilaile	出来了
child	吃了
chilf	吃了
chilhn	齿轮
chilide	处理的
chilihua	实例化
chiliuda	十六大
chiliujie	十六届
chiljn	齿轮
chilkn	齿轮
chilr	吃了
chils	吃了
chilub	齿轮
chilug	齿轮
chiluh	齿轮
chiluj	齿轮
chilum	齿轮
chilw	吃了
chilyn	齿轮
chimianshang	市面上
chimin	市民
chimiu	持久
chimuqian	是目前
chin	春,纯,唇
chinang	翅膀
chincai	蠢材
chincui	纯粹
chinfeng	春风
ching	冲,充,重,虫,崇,宠
chingbai	崇拜
chingchong	重重
chingci	冲刺
chingdang	充当
chingdian	充电
chingdianqi	充电器
chingdie	重叠
chingdong	冲动
chingfen	充分
chingfende	充分的
chingfu	重复
chingji	冲击
chingjian	重建
chingman	充满
chingmanle	充满了
chingqi	重启
chingqing	重庆
chingqingshi	重庆市
chingshi	充实
chingtu	冲突
chingwu	宠物
chingxi	冲洗
chingxin	重新
chingzhi	充值
chingzu	充足
chingzude	充足的
chinian	十年
chinin	是您,使您
chining	吃惊
chiniu	持久
chinji	春季
chinjie	春节,纯洁
chinjing	纯净
chinqiu	春秋
chinshu	纯属
chintian	春天
chinu	持股
chinuo	吃过
chinzhen	纯真
chinzheng	纯正
chioe	吃了
chioing	持平
chioun	齿轮
chipe	吃了
chipibg	持平
chipigg	持平
chipihg	持平
chipijg	持平
chipimg	持平
chipinb	持平
chipinf	持平
chipinh	持平
chipinn	持平
chipinr	持平
chipint	持平
chipinv	持平
chipiny	持平
chipjng	持平
chipkng	持平
chiplng	持平
chipong	持平
chipun	齿轮
chipung	持平
chiqan	吃完
chiqiye	使企业
chiqule	失去了
chirang	出让,是让
chirenda	市人大
chirenlei	是人类
chiruci	是如此
chirun	湿润
chiruo	脆弱,吃过
chisan	十三,初三,吃完
chishihua	初始化
chishishang	事实上
chishuo	是说
chisun	尺寸
chitai	出台
chitaile	出台了
chitamen	是他们,是她们,使他们,是它们,使她们
chiti	试题,实体
chiting	试听,视听
chitouren	持有人
chituo	吃过
chiu	抽,仇,臭,丑,愁
chiubei	筹备
chiucha	抽查
chiuchu	抽出
chiuhen	仇恨
chiuing	吃惊
chiuiu	持久
chiuji	筹集
chiujian	筹建
chiuou	持有
chiuouren	持有人
chiuxiang	抽象
chiuyan	抽烟
chiuyang	抽样
chiuzi	筹资
chivan	吃饭
chivang	翅膀
chive	吃的,吃得
chivu	持股,尺度
chivun	尺寸
chivuo	吃过
chiwab	吃完
chiwag	吃完
chiwah	吃完
chiwaj	吃完
chiwam	吃完
chiwe	吃的,吃得
chiwoguo	是我国
chiwomen	使我们
chiwqn	吃完
chiwsn	吃完
chiwude	事物的
chiwusuo	事务所
chiwwn	吃完
chiwxn	吃完
chiwzn	吃完
chixe	吃的,吃得
chixh	持续
chixianle	出现了,实现了
chixianzai	出现在
chixile	出席了
chixiong	师兄
chixj	持续
chixk	持续
chixuesheng	使学生
chixuezhe	初学者
chixun	尺寸
chixy	持续
chiyanshi	实验室
chiyebu	事业部
chiyige	是一个,出一个
chiyijia	是一家
chiyikuan	是一款
chiying	适应,吃惊
chiyinglv	市盈率
chiyinwei	是因为
chiyiu	持有,持久
chiyiuren	持有人
chiyiwei	是一位
chiyiwu	十一五
chiyixiang	是一项
chiyiyue	十一月
chiyizhong	是一种
chiyku	持有
chiykuren	持有人
chiylu	持有
chiyluren	持有人
chiyoh	持有
chiyohren	持有人
chiyoi	持有
chiyoiren	持有人
chiyoj	持有
chiyojren	持有人
chiyok	持有
chiyokren	持有人
chiyongde	使用的,实用的,适用的
chiyongfei	使用费
chiyongle	使用了
chiyongqi	试用期
chiyongquan	使用权
chiyongshi	使用时
chiyongxing	实用性
chiyongyu	适用于
chiyongzhe	使用者,使用着
chiyouden	持有人
chiyoueen	持有人
chiyoufen	持有人
chiyougen	持有人
chiyourdn	持有人
chiyoureb	持有人
chiyoureg	持有人
chiyoureh	持有人
chiyourej	持有人
chiyourem	持有人
chiyourfn	持有人
chiyourrn	持有人
chiyoursn	持有人
chiyourwn	持有人
chiyouten	持有人
chiyouyu	是由于
chiyoy	持有
chiyoyren	持有人
chiypu	持有
chiypuren	持有人
chiyue	十月
chiyuo	吃过
chizai	实在,是在,处在
chizaishi	实在是
chizhan	实战,施展
chizhege	是这个
chizhen	是真
chizhende	是真的
chizhengfu	市政府
chizhengxie	市政协
chizhixing	实质性
chizhongxin	市中心
chiziji	使自己
chizuche	出租车
chj	出,处,吃,楚,持,除
chjan	传,穿,船,川,喘,串
chjanbo	传播,船舶
chjancai	川菜
chjancheng	传承
chjanchu	传出
chjandao	传到
chjande	穿的
chjandi	传递
chjang	床,窗,创
chjanganqi	传感器
chjangban	创办
chjanghu	窗户
chjangjian	创建
chjangjianyu	创建于
chjangkou	窗口
chjangli	创立
chjanglian	窗帘
chjangshang	床上,创伤
chjangshe	创设
chjangshiren	创始人
chjanguo	穿过
chjangwai	窗外
chjangxin	创新
chjangye	创业
chjangyezhe	创业者
chjangyi	创意
chjangzao	创造
chjangzaochu	创造出
chjangzaole	创造了
chjangzaoli	创造力
chjangzuo	创作
chjankou	串口
chjanlai	传来
chjanmei	传媒
chjanqi	传奇
chjanran	传染
chjanranbing	传染病
chjanru	传入
chjanshang	穿上,船上
chjanshou	传授
chjanshu	传输
chjanshuo	传说
chjansong	传送
chjansuo	穿梭
chjantong	传统
chjanwen	传闻
chjanxiao	传销
chjanyuan	船员
chjanyue	穿越
chjanzhe	穿着
chjanzhen	传真
chjanzhuo	穿着
chjban	出版
chjbang	翅膀
chjbanshe	出版社
chjbanwu	出版物
chjbei	储备
chjchai	出差
chjchang	出场,出厂
chjchu	出处,处处
chjci	初次
chjcun	尺寸,储存
chjcuo	出错
chjde	吃的,吃得
chjdu	尺度
chjer	初二
chjfa	出发,处罚,触发
chjfade	处罚的
chjfadian	出发点
chjfan	吃饭
chjfang	厨房,处方
chjfei	除非
chjfen	处分
chjgu	持股
chjguo	出国,吃过
chji	吹,垂
chjin	促进
chjinle	促进了
chjizhi	垂直
chjji	初级,触及,出击
chjjia	出价
chjjing	出境,吃惊,处境
chjjiu	持久
chjju	出具
chjkou	出口
chjlai	出来
chjlaile	出来了
chjle	吃了
chjli	处理
chjliang	储量
chjlide	处理的
chjlu	出路
chjlun	齿轮
chjmai	出卖
chjmen	出门
chjmian	出面
chjmo	触摸
chjn	春,纯,唇
chjncai	蠢材
chjncui	纯粹
chjnfeng	春风
chjnji	春季
chjnjie	春节,纯洁
chjnjing	纯净
chjnqiu	春秋
chjnshu	纯属
chjntian	春天
chjnv	处女
chjnzhen	纯真
chjnzheng	纯正
chjpin	出品
chjping	持平
chjqi	初期
chjqu	出去,除去
chjrang	出让
chjren	出任
chjru	出入
chjsan	初三
chjse	出色
chjshen	出身,初审
chjsheng	出生
chjshi	出示,初始,厨师
chjshihua	初始化
chjshou	出售,出手
chjtai	出台
chjtaile	出台了
chjtu	出土
chjwai	除外
chjwan	吃完
chjxi	出席
chjxian	出现
chjxianle	出现了
chjxianzai	出现在
chjxie	出血
chjxile	出席了
chjxing	出行
chjxu	持续,储蓄
chjxue	出血
chjxuezhe	初学者
chjyi	处以,初一
chjyige	出一个
chjyou	持有,出游
chjyouren	持有人
chjyu	处于,出于
chjzai	处在
chjzhang	处长
chjzhi	处置
chjzhong	初中,出众
chjzi	出资,出自
chjzu	出租
chjzuche	出租车
chk	出,处,吃,楚,持,除
chkan	传,穿,船,川,喘,串
chkanbo	传播,船舶
chkancai	川菜
chkancheng	传承
chkanchu	传出
chkandao	传到
chkande	穿的
chkandi	传递
chkang	床,窗,创
chkanganqi	传感器
chkangban	创办
chkanghu	窗户
chkangjian	创建
chkangjianyu	创建于
chkangkou	窗口
chkangli	创立
chkanglian	窗帘
chkangshang	床上,创伤
chkangshe	创设
chkangshiren	创始人
chkanguo	穿过
chkangwai	窗外
chkangxin	创新
chkangye	创业
chkangyezhe	创业者
chkangyi	创意
chkangzao	创造
chkangzaochu	创造出
chkangzaole	创造了
chkangzaoli	创造力
chkangzuo	创作
chkankou	串口
chkanlai	传来
chkanmei	传媒
chkanqi	传奇
chkanran	传染
chkanranbing	传染病
chkanru	传入
chkanshang	穿上,船上
chkanshou	传授
chkanshu	传输
chkanshuo	传说
chkansong	传送
chkansuo	穿梭
chkantong	传统
chkanwen	传闻
chkanxiao	传销
chkanyuan	船员
chkanyue	穿越
chkanzhe	穿着
chkanzhen	传真
chkanzhuo	穿着
chkban	出版
chkbang	翅膀
chkbanshe	出版社
chkbanwu	出版物
chkbei	储备
chkchai	出差
chkchang	出场,出厂
chkchu	出处,处处
chkci	初次
chkcun	尺寸,储存
chkcuo	出错
chkde	吃的,吃得
chkdu	尺度
chker	初二
chkfa	出发,处罚,触发
chkfade	处罚的
chkfadian	出发点
chkfan	吃饭
chkfang	厨房,处方
chkfei	除非
chkfen	处分
chkgu	持股
chkguo	出国,吃过
chki	吹,垂
chkizhi	垂直
chkji	初级,触及,出击
chkjia	出价
chkjing	出境,吃惊,处境
chkjiu	持久
chkju	出具
chkkou	出口
chklai	出来
chklaile	出来了
chkle	吃了
chkli	处理
chkliang	储量
chklide	处理的
chklu	出路
chklun	齿轮
chkmai	出卖
chkmen	出门
chkmian	出面
chkmo	触摸
chkn	春,纯,唇
chkncai	蠢材
chkncui	纯粹
chknfeng	春风
chkng	冲,充,重,虫,崇,宠
chkngbai	崇拜
chkngchong	重重
chkngci	冲刺
chkngdang	充当
chkngdian	充电
chkngdianqi	充电器
chkngdie	重叠
chkngdong	冲动
chkngfen	充分
chkngfende	充分的
chkngfu	重复
chkngji	冲击
chkngjian	重建
chkngman	充满
chkngmanle	充满了
chkngqi	重启
chkngqing	重庆
chkngqingshi	重庆市
chkngshi	充实
chkngtu	冲突
chkngwu	宠物
chkngxi	冲洗
chkngxin	重新
chkngzhi	充值
chkngzu	充足
chkngzude	充足的
chknji	春季
chknjie	春节,纯洁
chknjing	纯净
chknqiu	春秋
chknshu	纯属
chkntian	春天
chknv	处女
chknzhen	纯真
chknzheng	纯正
chkpin	出品
chkping	持平
chkqi	初期
chkqu	出去,除去
chkrang	出让
chkren	出任
chkru	出入
chksan	初三
chkse	出色
chkshen	出身,初审
chksheng	出生
chkshi	出示,初始,厨师
chkshihua	初始化
chkshou	出售,出手
chktai	出台
chktaile	出台了
chktu	出土
chku	抽,仇,臭,丑,愁
chkubei	筹备
chkucha	抽查
chkuchu	抽出
chkuhen	仇恨
chkuji	筹集
chkujian	筹建
chkuxiang	抽象
chkuyan	抽烟
chkuyang	抽样
chkuzi	筹资
chkwai	除外
chkwan	吃完
chkxi	出席
chkxian	出现
chkxianle	出现了
chkxianzai	出现在
chkxie	出血
chkxile	出席了
chkxing	出行
chkxu	持续,储蓄
chkxue	出血
chkxuezhe	初学者
chkyi	处以,初一
chkyige	出一个
chkyou	持有,出游
chkyouren	持有人
chkyu	处于,出于
chkzai	处在
chkzhang	处长
chkzhi	处置
chkzhong	初中,出众
chkzi	出资,出自
chkzu	出租
chkzuche	出租车
chl	吃,持,迟,赤,痴,池
chlbang	翅膀
chlcun	尺寸
chlde	吃的,吃得
chldu	尺度
chlfan	吃饭
chlgu	持股
chlguo	吃过
chljing	吃惊
chljiu	持久
chlle	吃了
chllun	齿轮
chlng	冲,充,重,虫,崇,宠
chlngbai	崇拜
chlngchong	重重
chlngci	冲刺
chlngdang	充当
chlngdian	充电
chlngdianqi	充电器
chlngdie	重叠
chlngdong	冲动
chlngfen	充分
chlngfende	充分的
chlngfu	重复
chlngji	冲击
chlngjian	重建
chlngman	充满
chlngmanle	充满了
chlngqi	重启
chlngqing	重庆
chlngqingshi	重庆市
chlngshi	充实
chlngtu	冲突
chlngwu	宠物
chlngxi	冲洗
chlngxin	重新
chlngzhi	充值
chlngzu	充足
chlngzude	充足的
chlping	持平
chlu	抽,仇,臭,丑,愁
chlubei	筹备
chlucha	抽查
chluchu	抽出
chluhen	仇恨
chluji	筹集
chlujian	筹建
chluxiang	抽象
chluyan	抽烟
chluyang	抽样
chluzi	筹资
chlwan	吃完
chlxu	持续
chlyou	持有
chlyouren	持有人
chn	存,村,寸
chnchu	存储
chnchuka	存储卡
chnchuqi	存储器
chndang	存档
chnfang	存放
chnganbu	村干部
chnguo	存过
chnhuo	存货
chnji	村级
chnkuan	存款
chnli	村里
chnmin	村民
chnru	存入
chnweihui	村委会
chnzai	存在
chnzaiyu	存在于
chnzaizhe	存在着
chnzhen	村镇
chnzhuang	村庄
cho	吃,错,持,迟,赤,痴
chobang	翅膀
chobg	冲,充,重,虫,崇,宠
chobgbai	崇拜
chobgchong	重重
chobgci	冲刺
chobgdang	充当
chobgdian	充电
chobgdianqi	充电器
chobgdie	重叠
chobgdong	冲动
chobgfen	充分
chobgfende	充分的
chobgfu	重复
chobgji	冲击
chobgjian	重建
chobgman	充满
chobgmanle	充满了
chobgqi	重启
chobgqing	重庆
chobgqingshi	重庆市
